"lane_id","primary_action","estimated_savings"
"L004","Audit Invoice Exceptions","63347.55"
"L012","Improve Transit Planning","43110.76"
"L003","Improve Load Utilization","21526.48"
"L002","Audit Invoice Exceptions","3432.40"
"L005","Audit Invoice Exceptions","2858.72"
"L007","Improve Transit Planning","1772.75"
"L006","Shift Carrier Mix","1693.05"
"L008","Audit Invoice Exceptions","980.30"
"L010","Shift Carrier Mix","0"
"L009","Shift Carrier Mix","0"
"L001","Improve Transit Planning","0"
"L011","Shift Carrier Mix","0"
