"lane_id","primary_action","action_priority","performance_quadrant","estimated_savings"
"L006","Shift Carrier Mix","P1 — Urgent","High Cost / Low Service","8191.65"
"L010","Shift Carrier Mix","P1 — Urgent","High Cost / Low Service","12880.68"
"L011","Shift Carrier Mix","P1 — Urgent","High Cost / Low Service","7541.81"
"L012","Shift Carrier Mix","P1 — Urgent","High Cost / Low Service","3503.15"
"L001","Monitor — No Immediate Action","P3 — Medium","High Cost / Good Service","0"
"L002","Audit Invoice Exceptions","P3 — Medium","High Cost / Good Service","8778.60"
"L009","Consolidate Shipments","P3 — Medium","High Cost / Good Service","92342.00"
"L003","Improve Load Utilization","P4 — Low","Low Cost / Good Service","19307.56"
"L004","Improve Load Utilization","P4 — Low","Low Cost / Good Service","69149.69"
"L005","Monitor — No Immediate Action","P4 — Low","Low Cost / Good Service","0"
"L007","Monitor — No Immediate Action","P4 — Low","Low Cost / Good Service","0"
"L008","Monitor — No Immediate Action","P4 — Low","Low Cost / Good Service","0"
